FishID,dataset,mig.bool2,mig.bool,stray.bool2,stray.bool,prbt,old.std.prbt,F1,HybridClasses3,HC3.int,HybridClasses2,HC2.int
PIT_10692,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_139418,migration,1,1,NA,NA,0.002202643,-0.612613376,NA,WCT,1,WCT/LHyb,1
PIT_89497,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_713507,migration,1,1,NA,NA,0.00140056,-0.617278412,NA,WCT,1,WCT/LHyb,1
PIT_137838,migration,1,1,NA,NA,0.001831502,-0.614771988,NA,WCT,1,WCT/LHyb,1
PIT_89231,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_713538,migration,1,1,NA,NA,0.496559633,2.262641619,NA,LHyb,2,WCT/LHyb,1
PIT_615528,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_615681,migration,1,1,NA,NA,0.492160279,2.237054311,NA,LHyb,2,WCT/LHyb,1
PIT_713506,migration,1,1,NA,NA,0.494845361,2.252671154,NA,LHyb,2,WCT/LHyb,1
PIT_713515,migration,1,1,NA,NA,0.231958763,0.723682954,NA,LHyb,2,WCT/LHyb,1
PIT_10666,migration,1,1,NA,NA,0.091943958,-0.09066432,NA,LHyb,2,WCT/LHyb,1
PIT_713533,migration,1,1,NA,NA,0.494274809,2.249352737,NA,LHyb,2,WCT/LHyb,1
PIT_139833,migration,1,1,NA,NA,0.099303136,-0.047862228,NA,LHyb,2,WCT/LHyb,1
PIT_89246,migration,1,1,NA,NA,0.787744227,3.956215241,NA,HHyb,3,HHyb,2
PIT_713522,migration,1,1,NA,NA,0.000888099,-0.620258963,NA,WCT,1,WCT/LHyb,1
PIT_713511,migration,1,1,NA,NA,0.49127182,2.231886899,NA,LHyb,2,WCT/LHyb,1
PIT_510700,migration,1,1,NA,NA,0.015799257,-0.533533413,NA,LHyb,2,WCT/LHyb,1
PIT_89271,migration,1,1,NA,NA,0.604753521,2.891913629,NA,HHyb,3,HHyb,2
PIT_89552,migration,1,1,NA,NA,0.096910112,-0.061780418,NA,LHyb,2,WCT/LHyb,1
PIT_615659,migration,1,1,NA,NA,0.495682211,2.2575384,NA,LHyb,2,WCT/LHyb,1
PIT_87698,migration,1,1,NA,NA,0.000892857,-0.62023129,NA,WCT,1,WCT/LHyb,1
PIT_713545,migration,1,1,NA,NA,0.512522361,2.355483258,NA,HHyb,3,HHyb,2
PIT_713531,migration,1,1,NA,NA,0.49535316,2.255624589,NA,LHyb,2,WCT/LHyb,1
PIT_89348,migration,1,1,NA,NA,0.000884956,-0.620277243,NA,WCT,1,WCT/LHyb,1
PIT_713568,migration,1,1,NA,NA,0.495446266,2.256166108,NA,LHyb,2,WCT/LHyb,1
PIT_89542,migration,1,1,NA,NA,0.26899384,0.939084561,NA,LHyb,2,WCT/LHyb,1
PIT_713527,migration,1,1,NA,NA,0.493946731,2.247444586,NA,LHyb,2,WCT/LHyb,1
PIT_713591,migration,1,1,NA,NA,0.519930676,2.398571138,NA,HHyb,3,HHyb,2
PIT_89190,migration,1,1,NA,NA,0.244623656,0.797343887,NA,LHyb,2,WCT/LHyb,1
PIT_10687,migration,1,1,NA,NA,0.147787611,0.234130808,NA,LHyb,2,WCT/LHyb,1
PIT_713572,migration,1,1,NA,NA,0.578583765,2.739706372,NA,HHyb,3,HHyb,2
PIT_89205,migration,1,1,NA,NA,0.021169355,-0.502300112,NA,LHyb,2,WCT/LHyb,1
PIT_713549,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_713550,migration,1,1,NA,NA,0.010714286,-0.563108374,NA,LHyb,2,WCT/LHyb,1
PIT_89247,migration,1,1,NA,NA,0.001420455,-0.6171627,NA,WCT,1,WCT/LHyb,1
PIT_87706,migration,1,1,NA,NA,0.003565062,-0.604689341,NA,WCT,1,WCT/LHyb,1
PIT_713576,migration,1,1,NA,NA,0.493127148,2.242677767,NA,LHyb,2,WCT/LHyb,1
PIT_87732,migration,1,1,NA,NA,0.247454175,0.813806613,NA,LHyb,2,WCT/LHyb,1
PIT_87703,migration,1,1,NA,NA,0.425120773,1.847142408,NA,LHyb,2,WCT/LHyb,1
PIT_87710,migration,1,1,NA,NA,0.58056042,2.751202896,NA,HHyb,3,HHyb,2
PIT_713561,migration,1,1,NA,NA,0.327288428,1.278134699,NA,LHyb,2,WCT/LHyb,1
PIT_713575,migration,1,1,NA,NA,0.054945055,-0.305855534,NA,LHyb,2,WCT/LHyb,1
PIT_87730,migration,1,1,NA,NA,0.001470588,-0.616871119,NA,WCT,1,WCT/LHyb,1
PIT_89273,migration,1,1,NA,NA,0.000860585,-0.620418988,NA,WCT,1,WCT/LHyb,1
PIT_87729,migration,1,1,NA,NA,0.002590674,-0.610356529,NA,WCT,1,WCT/LHyb,1
PIT_87726,migration,1,1,NA,NA,0.012310606,-0.553823935,NA,LHyb,2,WCT/LHyb,1
PIT_87756,migration,1,1,NA,NA,0.001108647,-0.618976222,NA,WCT,1,WCT/LHyb,1
PIT_87782,migration,1,1,NA,NA,0.011304348,-0.559676484,NA,LHyb,2,WCT/LHyb,1
PIT_139092,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_713538,migration,1,1,NA,NA,0.496559633,2.262641619,NA,LHyb,2,WCT/LHyb,1
PIT_253885,migration,1,1,NA,NA,0.291262136,1.068600338,NA,LHyb,2,WCT/LHyb,1
PIT_253922,migration,1,1,NA,NA,0.491604478,2.233821688,NA,LHyb,2,WCT/LHyb,1
PIT_96032,migration,1,1,NA,NA,0.125892857,0.106787609,NA,LHyb,2,WCT/LHyb,1
PIT_253853,migration,1,1,NA,NA,0.250892857,0.833806508,NA,LHyb,2,WCT/LHyb,1
PIT_96050,migration,1,1,NA,NA,0.036206897,-0.414839494,NA,LHyb,2,WCT/LHyb,1
PIT_89348,migration,1,1,NA,NA,0.000884956,-0.620277243,NA,WCT,1,WCT/LHyb,1
PIT_89542,migration,1,1,NA,NA,0.26899384,0.939084561,NA,LHyb,2,WCT/LHyb,1
PIT_713511,migration,1,1,NA,NA,0.49127182,2.231886899,NA,LHyb,2,WCT/LHyb,1
PIT_253873,migration,1,1,NA,NA,0.076241135,-0.181994313,NA,LHyb,2,WCT/LHyb,1
PIT_253856,migration,1,1,NA,NA,0.497835498,2.270062242,NA,LHyb,2,WCT/LHyb,1
PIT_713572,migration,1,1,NA,NA,0.578583765,2.739706372,NA,HHyb,3,HHyb,2
PIT_96059,migration,1,1,NA,NA,0.236185383,0.748265615,NA,LHyb,2,WCT/LHyb,1
PIT_79013,migration,1,1,NA,NA,0.244648318,0.797487325,NA,LHyb,2,WCT/LHyb,1
PIT_96124,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_96121,migration,1,1,NA,NA,0.22417154,0.678391288,NA,LHyb,2,WCT/LHyb,1
PIT_253865,migration,1,1,NA,NA,0.51171875,2.350809335,NA,HHyb,3,HHyb,2
PIT_254088,migration,1,1,NA,NA,0.493738819,2.246235338,NA,LHyb,2,WCT/LHyb,1
PIT_713544,migration,1,1,NA,NA,0.109841828,0.013432398,NA,LHyb,2,WCT/LHyb,1
PIT_254110,migration,1,1,NA,NA,0.331119545,1.300417054,NA,LHyb,2,WCT/LHyb,1
PIT_254134,migration,1,1,NA,NA,0.187170475,0.4631875,NA,LHyb,2,WCT/LHyb,1
PIT_254097,migration,1,1,NA,NA,0.541825095,2.525912389,NA,HHyb,3,HHyb,2
PIT_510671,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_254077,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_96099,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_254107,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_96333,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_615681,migration,1,1,NA,NA,0.492160279,2.237054311,NA,LHyb,2,WCT/LHyb,1
PIT_7442267,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_96415,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_96106,migration,1,1,NA,NA,0.257042254,0.86957233,NA,LHyb,2,WCT/LHyb,1
PIT_133983,migration,1,1,NA,NA,0.001883239,-0.614471078,NA,WCT,1,WCT/LHyb,1
PIT_96379,migration,1,1,NA,NA,0.032685512,-0.435320401,NA,LHyb,2,WCT/LHyb,1
PIT_713591,migration,1,1,NA,NA,0.519930676,2.398571138,NA,HHyb,3,HHyb,2
PIT_96391,migration,1,1,NA,NA,0.001733102,-0.615344298,NA,WCT,1,WCT/LHyb,1
PIT_713550,migration,1,1,NA,NA,0.010714286,-0.563108374,NA,LHyb,2,WCT/LHyb,1
PIT_254058,migration,1,1,NA,NA,0.248245614,0.818409742,NA,LHyb,2,WCT/LHyb,1
PIT_254106,migration,1,1,NA,NA,0.510128913,2.341562603,NA,HHyb,3,HHyb,2
